supplier_proxy,total_orders,late_orders,avg_delay,total_revenue,total_profit,on_time_rate,risk_flag
Apparel — First Class,7016,7016,1.0,1134383.22727895,141001.929943719,0.0,RED
Apparel — Same Day,2514,1187,0.47215592680986473,409647.55344605,47295.259828327,52.784407319013525,RED
Apparel — Second Class,9198,7356,1.9980430528375734,1497547.87899843,163669.019864826,20.02609262883236,RED
Apparel — Standard Class,27666,10986,0.0002530181450155425,4509872.04757291,485313.649924322,60.290609412274996,AMBER
Book Shop — First Class,53,53,1.0,1647.2399957599998,129.430004246,0.0,RED
Book Shop — Same Day,41,31,0.7560975609756098,1274.2799967199999,10.489994654,24.390243902439025,RED
Book Shop — Second Class,63,47,1.9206349206349207,1958.0399949599998,325.320000892,25.396825396825395,RED
Book Shop — Standard Class,223,89,0.02242152466367713,6930.83998216,315.690006248,60.0896860986547,AMBER
Discs Shop — First Class,256,256,1.0,31134.24986286,4979.949999301,0.0,RED
Discs Shop — Same Day,96,52,0.5416666666666666,9466.53994588,2159.800000551,45.833333333333336,RED
Discs Shop — Second Class,359,280,1.9554317548746518,40809.28994058,2318.779990571,22.00557103064067,RED
Discs Shop — Standard Class,1202,494,0.02329450915141431,134162.18996998,14535.940008754,58.90183028286189,RED
Fan Shop — First Class,9625,9625,1.0,2475245.7178939898,268652.160650136,0.0,RED
Fan Shop — Same Day,3419,1655,0.48405966656917226,860017.01970331,85466.540390052,51.59403334308277,RED
Fan Shop — Second Class,12374,9839,1.9724422175529335,3152315.85425854,332496.580913782,20.486503959915957,RED
Fan Shop — Standard Class,37909,15098,-0.007913688042417369,9727724.21733279,1053469.013725055,60.173045978527526,AMBER
Fitness — First Class,379,379,1.0,60297.5402774,7578.370013298,0.0,RED
Fitness — Same Day,124,59,0.47580645161290325,17975.31006771,3427.6199939470002,52.41935483870967,RED
Fitness — Second Class,452,369,2.086283185840708,70117.90045298,8952.130026833,18.36283185840708,RED
Fitness — Standard Class,1386,549,-0.00937950937950938,217737.51107072,24874.1600439,60.3896103896104,AMBER
Footwear — First Class,2117,2117,1.0,579965.2995926,61605.850029878,0.0,RED
Footwear — Same Day,737,350,0.47489823609226595,195861.11981843,17855.670010949998,52.5101763907734,RED
Footwear — Second Class,2652,2119,1.9758672699849171,737647.69033519,66926.299549861,20.09803921568627,RED
Footwear — Standard Class,8212,3269,-0.0035314174378957624,2247920.85815875,238842.969054959,60.19240136385777,AMBER
Golf — First Class,4969,4969,1.0,688516.26313888,74422.069898367,0.0,RED
Golf — Same Day,1680,809,0.48154761904761906,232823.49111096,24860.070074096,51.84523809523809,RED
Golf — Second Class,6071,4823,2.009718333058804,848213.79425732,87859.139937429,20.556745182012847,RED
Golf — Standard Class,18674,7380,-0.017457427439220307,2586207.85239252,282695.329943679,60.47981150262397,AMBER
Health And Beauty — First Class,62,62,1.0,18168.480527,1378.000015138,0.0,RED
Health And Beauty — Same Day,13,5,0.38461538461538464,3809.5201105,638.28001409,61.53846153846154,AMBER
Health And Beauty — Second Class,63,51,1.8095238095238095,18461.5205355,1971.4199663450001,19.047619047619047,RED
Health And Beauty — Standard Class,207,83,-0.014492753623188406,60659.2817595,5349.679997861001,59.90338164251207,RED
Outdoors — First Class,1383,1383,1.0,182299.441499173,25102.499990681,0.0,RED
Outdoors — Same Day,470,219,0.46595744680851064,60749.660473375,5165.140043517,53.404255319148945,RED
Outdoors — Second Class,1798,1478,2.0556173526140156,224476.711580115,26203.38003313,17.797552836484986,RED
Outdoors — Standard Class,5531,2257,0.005604773097089134,720438.765970292,82861.609918414,59.19363587054782,RED
Pet Shop — First Class,81,81,1.0,6836.40012393,845.8399989459999,0.0,RED
Pet Shop — Same Day,38,23,0.6052631578947368,3207.20005814,229.699996258,39.473684210526315,RED
Pet Shop — Second Class,113,90,1.8938053097345133,9537.20017289,1286.059982554,20.353982300884955,RED
Pet Shop — Standard Class,237,95,0.05063291139240506,20002.80036261,1076.149984449,59.91561181434599,RED
Technology — First Class,200,200,1.0,78856.7214912,8445.890099564,0.0,RED
Technology — Same Day,51,25,0.49019607843137253,16680.9203183,2083.950007786,50.98039215686274,RED
Technology — Second Class,205,171,2.1219512195121952,73548.8413969,9225.629980963,16.58536585365854,RED
Technology — Standard Class,508,181,-0.12401574803149606,185621.9635224,23192.509769177,64.37007874015748,AMBER
