payment_type,actual_shipping_days,scheduled_shipping_days,benefit_per_order,sales_per_customer,delivery_status,late_delivery_risk,category_id,category_name,customer_city,customer_country,customer_id,customer_segment,customer_state,department_id,department_name,latitude,longitude,market,order_city,order_country,order_customer_id,order_id,order_item_discount,order_item_discount_rate,order_item_id,product_price,profit_ratio,quantity,sales,order_item_total,profit_per_order,order_region,order_state,order_status,product_id,product_category_id,product_name,product_list_price,product_status,shipping_mode,order_date,shipping_date,delay_days,is_late,profit_margin_pct,revenue_at_risk,order_year,order_month,order_quarter,order_month_name,order_yearmonth,order_dayofweek,order_week,has_discount,abc_class,supplier_proxy
DEBIT,3,4,91.25,314.64,Advance shipping,0,73,Sporting Goods,Caguas,Puerto Rico,20755,Consumer,PR,2,Fitness,18.25,-66.04,Pacific Asia,Bekasi,Indonesia,20755,77202,13.10999966,0.039999999,180517,327.75,0.289999992,1,327.75,314.6400146,91.25,Southeast Asia,Java Occidental,COMPLETE,1360,73,Smart watch,327.75,0,Standard Class,2018-01-31,2018-02-03,-1,0,27.84,0.0,2018,1,1,Jan,2018-01,Wednesday,5,1,C,Fitness — Standard Class
TRANSFER,5,4,-249.09,311.36,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19492,Consumer,PR,2,Fitness,18.28,-66.04,Pacific Asia,Bikaner,India,19492,75939,16.38999939,0.050000001,179254,327.75,-0.800000012,1,327.75,311.3599854,-249.0899963,South Asia,Rajastán,PENDING,1360,73,Smart watch,327.75,0,Standard Class,2018-01-13,2018-01-18,1,1,-76.0,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Standard Class
CASH,4,4,-247.78,309.72,Shipping on time,0,73,Sporting Goods,San Jose,United States,19491,Consumer,CA,2,Fitness,37.29,-121.88,Pacific Asia,Bikaner,India,19491,75938,18.03000069,0.059999999,179253,327.75,-0.800000012,1,327.75,309.7200012,-247.7799988,South Asia,Rajastán,CLOSED,1360,73,Smart watch,327.75,0,Standard Class,2018-01-13,2018-01-17,0,0,-75.6,0.0,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Standard Class
DEBIT,3,4,22.86,304.81,Advance shipping,0,73,Sporting Goods,Los Angeles,United States,19490,Home Office,CA,2,Fitness,34.13,-118.29,Pacific Asia,Townsville,Australia,19490,75937,22.94000053,0.07,179252,327.75,0.079999998,1,327.75,304.8099976,22.86000061,Oceania,Queensland,COMPLETE,1360,73,Smart watch,327.75,0,Standard Class,2018-01-13,2018-01-16,-1,0,6.97,0.0,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Standard Class
PAYMENT,2,4,134.21,298.25,Advance shipping,0,73,Sporting Goods,Caguas,Puerto Rico,19489,Corporate,PR,2,Fitness,18.25,-66.04,Pacific Asia,Townsville,Australia,19489,75936,29.5,0.090000004,179251,327.75,0.449999988,1,327.75,298.25,134.2100067,Oceania,Queensland,PENDING_PAYMENT,1360,73,Smart watch,327.75,0,Standard Class,2018-01-13,2018-01-15,-2,0,40.95,0.0,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Standard Class
DEBIT,2,1,95.18,288.42,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19487,Home Office,PR,2,Fitness,18.24,-66.04,Pacific Asia,Guangzhou,China,19487,75934,39.33000183,0.119999997,179249,327.75,0.330000013,1,327.75,288.4200134,95.18000031,Eastern Asia,Guangdong,COMPLETE,1360,73,Smart watch,327.75,0,First Class,2018-01-13,2018-01-15,1,1,29.04,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — First Class
TRANSFER,2,1,68.43,285.14,Late delivery,1,73,Sporting Goods,Miami,United States,19486,Corporate,FL,2,Fitness,25.93,-80.16,Pacific Asia,Guangzhou,China,19486,75933,42.61000061,0.129999995,179248,327.75,0.239999995,1,327.75,285.1400146,68.43000031,Eastern Asia,Guangdong,PROCESSING,1360,73,Smart watch,327.75,0,First Class,2018-01-13,2018-01-15,1,1,20.88,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — First Class
CASH,3,2,133.72,278.59,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19485,Corporate,PR,2,Fitness,18.23,-66.04,Pacific Asia,Guangzhou,China,19485,75932,49.15999985,0.150000006,179247,327.75,0.479999989,1,327.75,278.5899963,133.7200012,Eastern Asia,Guangdong,CLOSED,1360,73,Smart watch,327.75,0,Second Class,2018-01-13,2018-01-16,1,1,40.8,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Second Class
CASH,2,1,132.15,275.31,Late delivery,1,73,Sporting Goods,San Ramon,United States,19484,Corporate,CA,2,Fitness,37.77,-121.97,Pacific Asia,Guangzhou,China,19484,75931,52.43999863,0.159999996,179246,327.75,0.479999989,1,327.75,275.3099976,132.1499939,Eastern Asia,Guangdong,CLOSED,1360,73,Smart watch,327.75,0,First Class,2018-01-13,2018-01-15,1,1,40.32,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — First Class
TRANSFER,5,2,45.69,268.76,Late delivery,1,73,Sporting Goods,Freeport,United States,19482,Consumer,NY,2,Fitness,40.65,-73.59,Pacific Asia,Manado,Indonesia,19482,75929,59.0,0.180000007,179244,327.75,0.170000002,1,327.75,268.7600098,45.68999863,Southeast Asia,Célebes Septentrional,PENDING,1360,73,Smart watch,327.75,0,Second Class,2018-01-13,2018-01-18,3,1,13.94,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Second Class
